,Treatment,OR,CI_lower,CI_upper,WEIGHT,tau2,Reference
177,fluo,0.8929847364,0.7023391471,1.135379884,8.1614608343,0.0319122128,miln
178,fluv,0.8856120707,0.6636248191,1.1818556467,6.7922998881000005,0.0319122128,miln
179,mirt,1.1360862874,0.8548003188000001,1.5099339857,6.8898447391,0.0319122128,miln
180,nefa,0.9318502775,0.6006833828,1.4455950747,4.4636332411,0.0319122128,miln
181,paro,1.0613780688,0.8402682288000001,1.3406711885,8.3903302586,0.0319122128,miln
182,rebo,0.7507387879,0.5145397999,1.0953646886,5.1881379836,0.0319122128,miln
183,sert,0.9890954023,0.7571736813000001,1.2920545694,7.3353806915,0.0319122128,miln
184,traz,0.7892442416000001,0.5616681422,1.1090293825,5.7619155862,0.0319122128,miln
185,venl,1.0605235559,0.8154105187,1.3793177631,7.4573968956,0.0319122128,miln
186,vort,1.47895699,0.8258425625,2.6485844612,3.3637199158,0.0319122128,miln
187,agom,0.9472462573,0.7276583775000001,1.2330998993,7.4319158087,0.0319122128,mirt
188,amit,0.9736449992,0.7767709771,1.2204171015,8.6763591747,0.0319122128,mirt
189,bupr,1.0742021873,0.7290256459000001,1.5828117237,5.0564385906,0.0319122128,mirt
190,cita,0.8339530162000001,0.6495777784,1.0706610608,7.8445660016000005,0.0319122128,mirt
191,clom,0.7841879398,0.602141553,1.0212726922,7.4198536028,0.0319122128,mirt
192,dulo,0.8957554781,0.6772019607,1.1848428137,7.0075599983,0.0319122128,mirt
193,esci,1.0492178089,0.8219361047,1.3393474313,8.0282607515,0.0319122128,mirt
194,fluo,0.7860184092,0.6483364879,0.9529387151000001,10.1780969307,0.0319122128,mirt
195,fluv,0.7795288796000001,0.6057215286000001,1.0032089754,7.7694724595,0.0319122128,mirt
196,miln,0.8802148315,0.6622806093,1.1698638595,6.8898447391,0.0319122128,mirt
197,nefa,0.8202284350000001,0.5415746611,1.2422565786,4.7217316653,0.0319122128,mirt
198,paro,0.9342407180000001,0.7720915293,1.1304433296,10.2816420424,0.0319122128,mirt
199,rebo,0.6608114157,0.46703480690000004,0.9349875442000001,5.6473618455,0.0319122128,mirt
200,sert,0.8706164429000001,0.6997473331,1.0832095455,8.9709825892,0.0319122128,mirt
201,traz,0.6947044871,0.5171161031,0.9332804018,6.6391360038,0.0319122128,mirt
202,venl,0.9334885631000001,0.7592951181,1.1476445412,9.4897706394,0.0319122128,mirt
203,vort,1.3017998778,0.743928117,2.2780197214,3.5027603374,0.0319122128,mirt
204,agom,1.1548566435,0.7542864958000001,1.7681529159,4.6013793031,0.0319122128,nefa
205,amit,1.1870412651,0.7934592752,1.7758529128,4.8657337689,0.0319122128,nefa
206,bupr,1.3096378295,0.7831283756,2.1901278231,3.8116776417000002,0.0319122128,nefa
207,cita,1.0167326328,0.6673017087,1.5491422144,4.6543969769,0.0319122128,nefa
208,clom,0.9560604172,0.6248416291000001,1.4628531117,4.6082636741,0.0319122128,nefa
209,dulo,1.0920804984,0.7052688178000001,1.6910428831000002,4.4824503572,0.0319122128,nefa
210,esci,1.2791775609,0.8447458967,1.9370265529,4.7236114707,0.0319122128,nefa
211,fluo,0.9582920754,0.6532131775000001,1.4058560563,5.1141675661,0.0319122128,nefa
212,fluv,0.9503802189,0.6173954037,1.4629564054,4.5438478911,0.0319122128,nefa
213,miln,1.0731337685,0.6917566458000001,1.6647705406000002,4.4636332411,0.0319122128,nefa
214,mirt,1.2191725589,0.8049866809,1.8464674804,4.7217316653,0.0319122128,nefa
215,paro,1.1390006468,0.7768491275,1.6699799582,5.1220354616,0.0319122128,nefa
216,rebo,0.8056431447,0.49715859,1.3055409070000001,4.0602253551,0.0319122128,nefa
217,sert,1.0614316765,0.7180116984,1.5691070304,5.0142233551,0.0319122128,nefa
218,traz,0.8469646473,0.5375481243,1.3344835212000001,4.3110969802,0.0319122128,nefa
219,venl,1.1380836402,0.7636416531,1.6961285005,4.9122502827000005,0.0319122128,nefa
220,vort,1.5871186882,0.8240225590000001,3.0568892839,2.9901860941000002,0.0319122128,nefa
221,agom,1.4334592817,1.0020993614,2.0505007703,5.4749606529,0.0319122128,rebo
222,amit,1.4734082614,1.0528783161,2.0619019991,5.8324550795,0.0319122128,rebo
223,bupr,1.6255805541,1.0263032696,2.5747868258,4.2617800244,0.0319122128,rebo
224,cita,1.2620136341000001,0.9113351620000001,1.7476319132,6.0205230152,0.0319122128,rebo
225,clom,1.1867045894000001,0.8273861597000001,1.7020683343,5.434421474,0.0319122128,rebo
226,dulo,1.3555387465,0.9367514477000001,1.9615505240000002,5.3039448604,0.0319122128,rebo
227,esci,1.5877719178,1.1323500675,2.2263606771,5.7981896593,0.0319122128,rebo
228,fluo,1.1894746225,0.8727491284000001,1.6211415531000002,6.3303639797,0.0319122128,rebo
229,fluv,1.1796540754,0.8178696461,1.7014737545,5.3511917392,0.0319122128,rebo
230,miln,1.3320212251,0.9129379561000001,1.9434842556,5.1881379836,0.0319122128,rebo
231,mirt,1.5132910483000002,1.0695329646,2.1411680355,5.6473618455,0.0319122128,rebo
232,nefa,1.2412443482,0.7659660411,2.0114305979,4.0602253551,0.0319122128,rebo
233,paro,1.4137781155,1.0352222311000001,1.9307627867,6.2891161433,0.0319122128,rebo
234,sert,1.3174960695,0.9446703429000001,1.8374620375,5.8920384849000005,0.0319122128,rebo
235,traz,1.0512900816,0.7078855173,1.5612847113,4.9558655377,0.0319122128,rebo
236,venl,1.4126398862,1.0272434686,1.9426275358,6.1522768308,0.0319122128,rebo
237,vort,1.9700021017,1.0705410749,3.6251839109,3.2137974939,0.0319122128,rebo
238,agom,1.088017881,0.8514130224,1.390374446,7.9929690113,0.0319122128,sert
239,amit,1.1183397777,0.9236089652,1.354127023,10.2450587208,0.0319122128,sert
240,bupr,1.2338409137,0.8474127055,1.7964840394000001,5.2169361024,0.0319122128,sert
241,cita,0.9578879690000001,0.7659489692,1.1979249246,8.7650539471,0.0319122128,sert
242,clom,0.9007272332,0.7102970831000001,1.1422115732,8.2519657036,0.0319122128,sert
243,dulo,1.0288749833,0.7910070308,1.3382734793,7.4548984676,0.0319122128,sert
244,esci,1.2051435709,0.9692864415,1.4983919762,8.9993374353,0.0319122128,sert
245,fluo,0.9028297314,0.7674326604,1.0621147182,12.0627825927,0.0319122128,sert
246,fluv,0.8953757834,0.7009655053,1.1437050575,8.0070324009,0.0319122128,sert
247,miln,1.0110248189,0.7739611187000001,1.3207009497,7.3353806915,0.0319122128,sert
248,mirt,1.1486114330000001,0.9231824112,1.4290872615999999,8.9709825892,0.0319122128,sert
249,nefa,0.9421237581,0.6373051555,1.3927349683,5.0142233551,0.0319122128,sert
250,paro,1.0730795698,0.9045038653,1.273073347,11.4686066942,0.0319122128,sert
251,rebo,0.7590155471000001,0.5442289308,1.0585703336,5.8920384849000005,0.0319122128,sert
252,traz,0.7979455165,0.5994318582,1.0622008799,6.8517569442,0.0319122128,sert
253,venl,1.0722156361,0.8908875918,1.290450536,10.5794851106,0.0319122128,sert
254,vort,1.4952622230000001,0.8609155545,2.5970132657000002,3.5503358422,0.0319122128,sert
255,agom,1.3635240233,0.9864790649,1.8846804036,6.0552563645,0.0319122128,traz
256,amit,1.4015239821,1.0563732708,1.8594463969000001,6.9326884436,0.0319122128,traz
257,bupr,1.5462721304,1.0322424008,2.3162752269,4.8501233574,0.0319122128,traz
258,cita,1.2004428238,0.8740380367,1.6487417168,6.1766932759,0.0319122128,traz
259,clom,1.1288079382,0.8224757500000001,1.5492339578,6.1908076267,0.0319122128,traz
260,dulo,1.289405056,0.9200210286,1.8070949974000001,5.8067249311,0.0319122128,traz
261,esci,1.5103080925999999,1.1084281385,2.0578966332,6.33544068,0.0319122128,traz
262,fluo,1.1314428276,0.8663310379,1.4776832597,7.3413233051,0.0319122128,traz
263,fluv,1.1221014029,0.8086191447000001,1.5571132177,5.9823503767,0.0319122128,traz
264,miln,1.2670349016,0.9016893653,1.7804107531,5.7619155862,0.0319122128,traz
265,mirt,1.4394609773,1.0714893381,1.9338017016000002,6.6391360038,0.0319122128,traz
266,nefa,1.1806868247,0.7493535769,1.8602985571000001,4.3110969802,0.0319122128,traz
